Asset,Company,Country,Region,Sector,Facility_ID,Facility_Name,Facility_Type,Reporting_Year,Month,Emission_Type,Emission_Value_tCO2e,Emission_Method,Emission_Factor_Source,Regulator,Scope_1_tCO2e,Scope_2_tCO2e,Scope_3_tCO2e,Energy_Consumed_kWh,Flaring_Volume_Mscf,Methane_tons,Production_Volume,Production_Unit,Industry_Code,Data_Quality,Data_Type,Dataset_Version,Source,Latitude,Longitude,Facility_Status,Notes,Total_Emissions
Cracker Unit 1,Alpha Energy,UAE,Middle East,Petrochemicals,FAC-001,Westfield Cracker Unit 1,Cracker Unit,2023,12,Total_GHG,1720.856,Hybrid,EU EMEP/EEA,EU ETS,592.74,150.283,977.833,366722.95,154.762,9.753,6549.16,tons/day,325110,High,Synthetic,v1.0,Generated,22.9796,51.6977,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1720.856
Offshore Platform 2,Nexus Petrochem,Saudi Arabia,Middle East,Oil & Gas,FAC-002,Granite Offshore Platform 2,Offshore Platform,2018,2,Total_GHG,2377.351,Hybrid,EPA AP-42,Local Authority,952.972,67.373,1357.006,141629.46,753.583,31.79,1103.55,MMscf,211120,Medium,Synthetic,v1.0,Generated,20.1681,37.2297,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2377.351
Offshore Platform 3,Epsilon Resources,Canada,North America,Oil & Gas,FAC-003,Cedar Offshore Platform 3,Offshore Platform,2020,8,Total_GHG,2729.82,Hybrid,IEA 2023,EU ETS,960.024,55.168,1714.628,166456.75,645.619,30.92,1487.5,MMscf,211120,High,Synthetic,v1.0,Generated,66.0936,-63.7494,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2729.82
Polymer Plant 4,Orion Upstream,USA,North America,Petrochemicals,FAC-004,Granite Polymer Plant 4,Polymer Plant,2021,5,Total_GHG,2110.15,Hybrid,EPA AP-42,National Authority,792.536,107.319,1210.295,313484.81,715.479,18.021,6047.29,MWh,325110,Medium,Synthetic,v1.0,Generated,30.4972,-122.1382,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2110.15
Offshore Platform 5,Terra Minerals,India,Asia-Pacific,Oil & Gas,FAC-005,Westfield Offshore Platform 5,Offshore Platform,2019,11,Total_GHG,3666.53,Direct Measurement,IPCC 2019,Local Authority,1165.194,54.912,2446.424,115514.04,150.053,39.962,977.84,MWh,211120,Medium,Synthetic,v1.0,Generated,9.8182,68.9423,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,3666.53
Smelter 6,Gamma Mining Corp,India,Asia-Pacific,Mining,FAC-006,Silverline Smelter 6,Smelter,2020,9,Total_GHG,1152.684,Hybrid,IPCC 2019,Local Authority,530.244,138.511,483.929,313372.6,51.138,13.365,8335.79,tons/day,212299,High,Synthetic,v1.0,Generated,8.0649,82.4418,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1152.684
Concentrator 7,Delta Petroleum,USA,North America,Mining,FAC-007,Westfield Concentrator 7,Concentrator,2018,12,Total_GHG,1343.499,Hybrid,EU EMEP/EEA,EU ETS,625.818,156.831,560.85,452719.26,116.37,14.327,11806.2,tons/day,212299,Low,Synthetic,v1.0,Generated,30.7809,-91.0933,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1343.499
Polymer Plant 8,Epsilon Resources,Qatar,Middle East,Petrochemicals,FAC-008,Pioneer Polymer Plant 8,Polymer Plant,2022,8,Total_GHG,1368.926,Direct Measurement,IPCC 2019,Local Authority,713.43,111.784,543.712,258009.36,123.56,16.782,5139.19,tons/day,325110,High,Synthetic,v1.0,Generated,25.9903,51.2998,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1368.926
Blending Station 9,Delta Petroleum,Australia,Asia-Pacific,Petrochemicals,FAC-009,Sunset Blending Station 9,Blending Station,2022,8,Total_GHG,1547.655,Hybrid,IPCC 2019,US EPA,572.562,91.931,883.162,232899.34,199.055,13.717,3989.2,MWh,325110,High,Synthetic,v1.0,Generated,-30.2215,150.5495,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1547.655
Offshore Platform 10,Delta Petroleum,UK,Europe,Oil & Gas,FAC-010,Riverview Offshore Platform 10,Offshore Platform,2020,8,Total_GHG,1442.125,Direct Measurement,IEA 2023,National Authority,390.282,66.579,985.264,146725.57,1093.342,10.711,1236.78,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,54.2903,-6.5982,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1442.125
